,name,rating,user_ratings_total,vicinity,price_level,url
38,El Segundo New Haven,4.3,72,"367 Orange St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJoUBSVBbZ54kRBSJpm4hQRak
39,Patricia's Restaurant,4.3,126,"18 Whalley Ave, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJTUM77rHZ54kRGxlhYdgt8g8
40,ZINC New Haven,4.5,342,"964 Chapel St, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJjeSjrrTZ54kRlHCf9kqHZHU
41,Yamasaki Teriyaki,4.4,39,"9 Dixwell Ave, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJux8oR23Z54kRwTSc4-lEULs
42,Archie Moore's,4.4,740,"188 1/2 Willow St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJ3_pVKd_Z54kR3VjB1dRwQDY
43,POKEMOTO,4.5,197,"99 Audubon St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJEayJ58nZ54kRXIrlv542sRQ
44,Pad Thai Restaurant,4.2,193,"1170 Chapel St, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJI2LxlrLZ54kRJgW9AnZZVxU
45,Louis' Lunch,4.4,1513,"261 Crown St, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJLYyTxUzY54kRl1DVQ7MjH8c
46,Pacifico,4.3,658,"220 College St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJI7dOuEzY54kRRnS50NhTKEo
47,Jordans Hot Dogs,4.5,274,"970 State St, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJSasxydrZ54kR5T-hSZq78ms
48,Big Green Truck Takeout,4.9,48,"175 Humphrey St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJM77RhX_Z54kRo32uystSzHU
49,Midpoint Istanbul Fine Dining,4.8,204,"245 Crown St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJ7Z3mx0zY54kRYIMZ5FhDNAY
50,Lalibela Ethiopian Restaurant,4.7,430,"176 Temple St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJ82YOTEvY54kRQJqDgk7Al48
51,Elm City Social,4.4,523,"266 College St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJnSK2TbPZ54kRLfjMQcuqzgw
52,Salsa Fresca Mexican Grill,4.1,158,"51 Broadway, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJT5s-2LPZ54kRN8Zjp93A0No
53,Florian Sea & Meat Raw Bar,4.4,26,"1166 Chapel St, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJcwpGvLLZ54kRjwnY_A0bHag
54,Est Est Est Pizza & Restaurant,4.2,294,"1176 Chapel St, New Haven",1.0,https://www.google.com/maps/place/?q=place_id:ChIJDVxll7LZ54kRfHdNCDKi-CU
55,Michelina's Apizza and Ristorante,4.2,46,"858 State St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJHQ5kNYnZ54kRgEglGly-v-w
56,ROÌA Restaurant and Cafe,4.4,220,"261 College St, New Haven",3.0,https://www.google.com/maps/place/?q=place_id:ChIJbWQXrUzY54kR0bzhnd43D_E
57,Chao Restaurant & Wine Cafe,4.0,30,"Whitney Ave, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJUV550cnZ54kRklNmXTiHOww
58,Soul de Cuba Cafe,4.5,578,"283 Crown St, New Haven",2.0,https://www.google.com/maps/place/?q=place_id:ChIJjQD81kzY54kRIAt6CmnnjyU
59,Tropical Caribbean Restaurant,4.1,60,"206 Dixwell Ave, New Haven",,https://www.google.com/maps/place/?q=place_id:ChIJ5TvKyrrZ54kR15Vs2SGKfWI
